First Name,Last Name,Company,Domain
Vikas,Jain,ReNew Power,renew.com
Sanjiv,Aggarwal,ReNew Power,renew.com
Ashish,Khanna,Adani Green Energy,adanigreenenergy.com
Vneet,Jaain,Adani Green Energy,adanigreenenergy.com
Ranjit,Gupta,Azure Power,azurepower.com
Murali,Subramanian,Azure Power,azurepower.com
Anil Kumar,Chalamalasetty,Greenko Group,greenkogroup.com
Mahesh,Kolli,Greenko Group,greenkogroup.com
Sharad,Mahendra,JSW Energy,jsw.in
Prashant,Jain,JSW Energy,jsw.in
Gurdeep,Singh,NTPC Limited,ntpc.co.in
Mohit,Upadhyay,NTPC Renewable Energy,ntpc.co.in
Suresh,Prabhu,Torrent Power,torrentpower.com
Samir,Mehta,Torrent Power,torrentpower.com
SN,Subrahmanyan,Larsen and Toubro,larsentoubro.com
Arjun,Gupta,Sterlite Power,sterlitepower.com
Pratik,Agarwal,Sterlite Power,sterlitepower.com
